fr24_id,flight,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,queried_timestamp
3ba84186,SE681,URO681,47.2511,19.00249,295,36000,448,0,3253,2025-08-10T05:19:59Z,MLAT,400A90,A346,G-ECLM,URO,URO,CKG,ZUCK,BOH,EGHH,2025-08-10T07:28:00Z,1754803200
3ba84b02,BR61,EVA061,47.23925,19.40864,296,34425,457,-1536,6132,2025-08-10T05:19:59Z,MLAT,899097,B78X,B-17807,EVA,EVA,BKK,VTBS,VIE,LOWW,2025-08-10T05:45:36Z,1754803200
3ba94cee,FR6749,RYR3JE,47.46794,19.18968,132,800,148,-768,6151,2025-08-10T05:19:59Z,ADSB,4D222D,B738,9H-QDB,RYR,MAY,GOT,ESGG,BUD,LHBP,2025-08-10T05:21:04Z,1754803200
3ba93681,FR3331,RYR1TN,47.49101,19.15219,132,1425,179,-832,7340,2025-08-10T05:29:59Z,ADSB,4D236A,B38M,9H-VUT,RYR,MAY,PFO,LCPH,BUD,LHBP,2025-08-10T05:32:30Z,1754803800
3ba77e97,JL41,JAL41,47.40326,19.35993,295,40000,460,-64,5441,2025-08-10T05:29:59Z,MLAT,86DD4C,B788,JA845J,JAL,JAL,HND,RJTT,LHR,EGLL,2025-08-10T07:25:52Z,1754803800
3ba93fa9,FH623,FHY623,47.58963,18.99203,135,3825,199,64,5324,2025-08-10T05:29:59Z,MLAT,4B9910,A320,TC-FHP,FHY,FHY,AYT,LTAI,BUD,LHBP,2025-08-10T05:32:10Z,1754803800
3ba9728e,,HAUAW,47.33647,18.95966,315,1175,79,64,7000,2025-08-10T05:39:59Z,ADSB,4734E6,TL20,HA-UAW,,,,,,,,1754804400
3ba955d3,CAT301,CAT301,47.26387,19.3851,155,39000,460,0,3530,2025-08-10T05:39:59Z,ADSB,458664,B738,OY-ASD,,CAT,AAL,EKYT,CHQ,LGSA,2025-08-10T07:30:08Z,1754804400
3ba980aa,W62231,WZZ48QV,47.44075,19.23363,312,275,159,704,4237,2025-08-10T05:39:59Z,ADSB,471DB5,A21N,HA-LGN,WZZ,WZZ,BUD,LHBP,TGD,LYPG,,1754804400
3ba923be,7L321,AZG321,47.34269,19.30007,293,32000,470,0,5412,2025-08-10T05:39:59Z,MLAT,600B22,B744,4K-BCH,AZG,AZG,GYD,UBBB,STN,EGSS,2025-08-10T07:32:16Z,1754804400
